,pred,gt,path,Leven_distance
116,さ似衣,曲似女,61_train_05446.png,0.667
117,1ン出コいン,彼こ出コし7,61_train_05457.png,0.667
118,てラ,ー,79_train_06764.png,1.000
119,ン,め,78_train_04115.png,1.000
120,劉ツ人側OIた,劉ツ人側Olた,61_train_05469.png,0.143
121,65,65I,61_train_05474.png,0.333
122,ラ駅ラ由0苦,ラ駅ラ由O苦,61_train_05477.png,0.167
123,プ,ブ,79_train_02913.png,1.000
124,こメ玩モ裁ど,ーメらモ載リ,61_train_05480.png,0.667
125,決二ツ結Aるギ,決ニツ結Aるギ,61_train_05482.png,0.143
126,郡者健確スと奮,郡者健確スと蛮,61_train_05484.png,0.143
127,し果県パ,し素県パ,61_train_05489.png,0.250
128,i移タるンつ大,i移タるンっ大,61_train_05496.png,0.143
129,s流い用で東て,o帝い用マ東て,61_train_05501.png,0.429
130,13ー日,11,79_train_04833.png,0.750
131,サの7n,ナの7n,61_train_05516.png,0.250
132,はよ,は,79_train_06913.png,0.500
133,はは,はに,76_train_04138.png,0.500
134,てた一も年フでと,てわー工用が営,61_train_05534.png,0.875
135,療ベ終握級8C,療べ終握緩8C,61_train_05543.png,0.286
136,過業主多,選祭る4きを,61_train_05545.png,1.000
137,シ程,ン糧,61_train_05549.png,1.000
138,響変れエ表へ,響父れエ競っ,61_train_05552.png,0.500
139,め,カ,79_train_05531.png,1.000
140,たプ点舎S数,たブ点舎S数,61_train_05561.png,0.167
141,レハ年れの,レパ年れの,61_train_05562.png,0.200
142,健編,健綴,61_train_05567.png,0.500
143,双薬ク民のら,双薬ク尿のら,61_train_05569.png,0.167
144,とエ鷹は動死,とエ膚は動死,61_train_05575.png,0.167
145,ィた認事装構の,ィた認事羨構の,61_train_05577.png,0.143
146,1n,m,79_train_06722.png,1.000
147,4的信Lス時様,4的信lス時様,61_train_05583.png,0.143
148,ラてニ,大でし崩プ品,61_train_05587.png,1.000
149,技のそ仕る軍,技のィにる軍,61_train_05592.png,0.333
150,たにプィ実成,退しプィ実成,61_train_05596.png,0.333
151,地語Tで版な,脚語Tで版な,61_train_05601.png,0.167
152,03150a,0V150a,61_train_05607.png,0.167
153,す源教要キがの,す寝教受主がの,61_train_05610.png,0.429
154,の建にレ8結悪,の建にレC結事,61_train_05614.png,0.286
155,はーず買,はーず資,61_train_05615.png,0.250
156,is6r,一ー,78_val_00164.png,1.000
157,抗,援,71_train_03256.png,1.000
158,部仙,誕,79_train_02921.png,1.000
159,平9がも広ン,率0がも広ン,61_train_05645.png,0.333
160,日城ャもP量,日城ャもR園,61_train_05646.png,0.333
161,日州春源正,日州青源正,61_train_05648.png,0.200
162,c,a,79_train_06361.png,1.000
163,兵,密,65_train_06637.png,1.000
164,ら名き,ら終き,61_train_05666.png,0.333
165,本ゼ,本セ,61_train_05669.png,0.500
166,格デゴし5ブT点,格デゴし5ン点,61_train_05672.png,0.250
167,見,現,79_train_05548.png,1.000
168,送の,送め,61_train_05690.png,0.500
169,う連とこ文分n,フ管なエ東ラ万,61_train_05691.png,1.000
170,数ドとしォD,送トレ辞,61_train_05704.png,1.000
171,んさ駅の発本ー,んさ駅の発太ー,61_train_05707.png,0.143
172,能十イ泰へ,能十イ泰ヘ,61_train_05709.png,0.200
173,にな晴イカ,にな晴イ力,61_train_05711.png,0.200
174,と逸,と遊,61_train_05713.png,0.500
175,ののずさ中は道,ののすさ中は道,61_train_05718.png,0.143
176,そn不,ョて,61_train_05722.png,1.000
177,連くサ,連くザ,61_train_05724.png,0.333
178,行送い懸は主5,る送い懸は主5,61_train_05727.png,0.143
179,善,書,78_train_01496.png,1.000
180,線れ行n楽て,線れ行u楽て,61_train_05735.png,0.167
181,は変,は優,61_train_05739.png,0.500
182,危束記れ展持,1ぎ束記れ展持,61_train_05740.png,0.286
183,キバレはる内て,ま声レほる内て,61_train_05742.png,0.429
184,こに本ー滑死体,こに本ー稿が様,61_train_05756.png,0.429
185,宅,と,79_train_06932.png,1.000
186,跨う動督メ業会,傍う働督メ業会,61_train_05761.png,0.286
187,nり対て,nり対で,61_train_05779.png,0.250
188,天ーて面動グ0,天ーで面動グ0,61_train_05781.png,0.143
189,ロて,スンて,61_train_05782.png,0.667
190,1シ,た受,79_train_02184.png,1.000
191,ろ,ら,79_train_05234.png,1.000
192,果入中ダ,果入中グ,61_train_05793.png,0.250
193,02,ウ,79_train_06580.png,1.000
194,間のる将いし準,間のる将い浄,61_train_05813.png,0.286
195,りよニカSこn,ウよニカSこn,61_train_05820.png,0.143
196,南しお優,蔵しーがしく,61_train_05822.png,0.833
197,ての明ト足交,ての明ド促俊,61_train_05829.png,0.500
198,の初ー,の初一,61_train_05833.png,0.333
199,n点うさ際わ命,6点うさ際わの,61_train_05834.png,0.286
200,ガー地,ガ一地,61_train_05838.png,0.333
201,にす年が,るきら年が,61_train_05839.png,0.600
202,Oのの,0のの,75_train_00295.png,0.333
203,いハ称ン方に明,いハ称ン方に期,61_train_05852.png,0.143
204,ク削くびハた,グ削くびパた,61_train_05856.png,0.333
205,高な県へルン,高な県へIルン,61_train_05863.png,0.143
206,期差れiはボ,馴差れ1はポ,61_train_05879.png,0.500
207,いネる,べネス,61_train_05882.png,0.667
208,ピ心月,シい戸,61_train_05883.png,1.000
209,全の1いす年ペ,足シ1いす年ベ,61_train_05885.png,0.429
210,バFー計教せ8,バF一計教せ8,61_train_05893.png,0.143
211,部は到ーま,部は到一ま,61_train_05896.png,0.200
212,らだヘ代野が択,らたへ代野が択,61_train_05899.png,0.286
213,リ関,リ門,61_train_05900.png,0.500
214,ンーー軍,ンー一軍,61_train_05904.png,0.250
215,3220,0226,61_train_05909.png,0.500
216,ウに携ルの,ウに成ミら内,61_train_05910.png,0.667
217,せ互1差シ良,せc互1差シ技,61_train_05914.png,0.286
218,56I7P,56i7P,61_train_05915.png,0.200
219,い法タCド日,い法タCド旧,61_train_05916.png,0.167
220,オ,林,78_train_00637.png,1.000
221,ー素示ど,ー泰示ど,61_train_05928.png,0.250
222,ーい,一い,79_train_03249.png,0.500
223,m傍相ーチ,m嗜相ーチ,61_train_05934.png,0.200
224,配,し,79_train_06064.png,1.000
225,さ解装はも原た,さ新装はも所た,61_train_05939.png,0.286
226,キ1,マ1,61_train_05946.png,0.500
227,ーコこた,ーコこだ,61_train_05955.png,0.250
228,いI,いコ,73_train_07958.png,0.500
229,闘はた載先,間はた載先,61_train_05986.png,0.200
230,属何まに年,電り抗まし年,61_train_05990.png,0.667
231,r道こ,r道に,61_train_05994.png,0.333
232,しのモッ,1児9,61_train_05998.png,1.000
233,は後の舎の,は後の含の,61_train_06001.png,0.200
234,っ対しりニきI,2対しりニきl,61_train_06002.png,0.286
235,レ終,レ綴,61_train_06005.png,0.500
236,きら態島,きら厳島,61_train_06008.png,0.250
237,aを遇暖用と攻,aを選暖用と攻,61_train_06009.png,0.143
238,やG,やo,61_train_06010.png,0.500
239,戻る候レを相で,喫る候レを相で,61_train_06011.png,0.143
240,のソmはま,のリリmはま,61_train_06019.png,0.333
241,閣,間,79_train_04097.png,1.000
242,てにiト,3Mにuト,61_train_06023.png,0.600
243,送にュ全,多にュ全,61_train_06025.png,0.250
244,る人点理でさの,る入点理でさの,61_train_06026.png,0.143
245,へ行かたて,湾サるのス,61_train_06031.png,1.000
246,2どー,2ど一,61_train_06032.png,0.333
247,いえ1けトでー,いえ1けトでr,61_train_06034.png,0.143
248,ル換カ日軍と,ル進変な日報と,61_train_06038.png,0.571
249,ー一処ルドム,一一りルドム,61_train_06059.png,0.333
250,出ダ,出タ,61_train_06061.png,0.500
251,のはミじラらス,にし会ガ衰き高,61_train_06068.png,1.000
252,に楽にすバ,に楽に支バ,61_train_06076.png,0.200
253,庄8ポ,圧8ポ,61_train_06084.png,0.333
254,JID,JlD,61_train_06091.png,0.333
255,不と7重h反,不と7置血反,61_train_06097.png,0.333
256,年るモ承さか,年るモ承ま流,61_train_06100.png,0.333
257,ハは,豊は,61_train_06102.png,0.500
258,き窮,近語,61_train_06103.png,1.000
259,カ提tモ,カ掟tモ,61_train_06114.png,0.250
260,マィのけ命様,マィのけ命樽,61_train_06116.png,0.167
261,1,つ,79_train_06680.png,1.000
262,重さ連郡の置,夏v徴形の遅,61_train_06128.png,0.833
263,代トは試歳治,代トれ試歳治,61_train_06129.png,0.167
264,に1正ベハに,に1正やベハに,61_train_06131.png,0.143
265,なるの車っ絶ど,急るの車っ絶ど,61_train_06133.png,0.143
266,覧るテもる,敷oテむる,61_train_06136.png,0.600
267,ヒ語員ばあ,ヒ語質ばあ,61_train_06138.png,0.200
268,は大岡開oのに,体大5賭にルで,61_train_06141.png,0.857
269,対建うい年ルの,対に0い年ルの,61_train_06143.png,0.286
270,エ0とジ好充,工0とジ好充,61_train_06146.png,0.167
271,tc,ャ,78_train_06381.png,1.000
272,にグさにせ,にグさに赴,61_train_06150.png,0.200
273,とす,たず,61_train_06152.png,1.000
274,なわl決番,なわ決番,61_train_06154.png,0.200
275,粋妃g合,絆妃g合,61_train_06159.png,0.250
276,2R131h,2R131r,61_train_06164.png,0.167
277,陸月年た8手,健月年たト8手,61_train_06166.png,0.286
278,列先戸ィス,列先戸ォ1,61_train_06171.png,0.400
279,郡ヨラ所プ子,郡ヨラ所ブ任,61_train_06174.png,0.333
280,関5ー着わロに,関5ー着わコに,61_train_06175.png,0.143
281,昭ジル対機,野ョル置は,61_train_06176.png,0.800
282,知なア方,知なアん,61_train_06178.png,0.250
283,趣を開でけンゴ,趣を開でけンす,61_train_06180.png,0.143
284,際っッッ,際っッツ,61_train_06186.png,0.250
285,ニッらいる,ーンりいる,61_train_06203.png,0.600
286,白し,的し,63_train_07775.png,0.500
287,団童あし,団重あし,61_train_06209.png,0.250
288,ルた星いト士,ルた星いト土,61_train_06211.png,0.167
289,そ電表,そ官よ,61_train_06217.png,0.667
290,動通格邦,乗通格邦,61_train_06229.png,0.250
291,とと録改,とと録く,61_train_06240.png,0.250
292,え9のにイるビ,え9のにイる杉,61_train_06250.png,0.143
293,機球なク裁で,機珠なク裁で,61_train_06251.png,0.167
294,96R,9ォー,61_train_06256.png,0.667
295,しア実さフ日グ,しア実さ7日グ,61_train_06258.png,0.143
296,聖1下表い,翌1下衷い,61_train_06260.png,0.400
297,よか大,大か大,61_train_06270.png,0.333
298,湾あがラ一,湾あがラー,61_train_06272.png,0.200
299,るン年マ間,いク年マ間,61_train_06284.png,0.400
300,お,主,79_train_03736.png,1.000
301,葉ーr1てム,葉一r1てム,61_train_06288.png,0.167
302,隷セ突qテで,免セ交sテで,61_train_06304.png,0.500
303,が中生と,な中1性と,61_train_06309.png,0.600
304,はめて,建めて,61_train_06314.png,0.333
305,にバ法様i,にパ法様i,61_train_06321.png,0.200
306,説のはる洋鳴,訪のはる浅嶋,61_train_06324.png,0.500
307,C77,の商,61_train_06325.png,1.000
308,まド響球筑シ,ま層ー各象気シ,61_train_06329.png,0.714
309,プ,士,78_train_01772.png,1.000
310,た軍a2全ィ,ら1戦ォ7彼ア,61_train_06340.png,1.000
311,さン,ッ,79_train_04500.png,1.000
312,たはの行無S,たはの行無5,61_train_06354.png,0.167
313,ィ,イ,79_train_04906.png,1.000
314,るは巻レの月,るは巻移のっ月,61_train_06357.png,0.286
315,aめ輪0坂受1,aめ輸0墺受1,61_train_06368.png,0.286
316,年ホ戦のるク,年カ新入の合グ,61_train_06369.png,0.714
317,遠一,還今,61_train_06371.png,1.000
318,すら,女ら,61_train_06373.png,0.500
319,のメ曲主,のメ迎主,61_train_06375.png,0.250
320,I11SA2,I11S7A2,61_train_06376.png,0.143
321,ュ院た使一起な,ュ院た使ー起な,61_train_06377.png,0.143
322,動たしとクi,動たしとクが,61_train_06387.png,0.167
323,で楽たヴ,だ楽たヴ,61_train_06390.png,0.250
324,シをスmh細シ,シをスm細シ,61_train_06392.png,0.143
325,戦阿さ,戦阿き,61_train_06393.png,0.333
326,養クよをい,養タよをい,61_train_06396.png,0.200
327,鍛をリ,館武リ,61_train_06397.png,0.667
328,のや日,のや旧,61_train_06403.png,0.333
329,がガャら賞,届ガ発ら機,61_train_06411.png,0.600
330,ー満なの,ー満な1の,61_train_06412.png,0.200
331,13コス映,1きコス映,61_train_06413.png,0.200
332,よ日であだドの,よ日であ推ドの,61_train_06416.png,0.143
333,工舞反れは監,勝報反れは監,61_train_06423.png,0.333
334,ン場師極書接港,ン場師極書格港,61_train_06428.png,0.143
335,世ケかl,世ケかI,61_train_06429.png,0.250
336,一民a順をピた,ー回a項をピた,61_train_06431.png,0.429
337,残てル3籍の,残てル8籍の,61_train_06434.png,0.167
338,頼と影ス計障,頼と影ス計譚,61_train_06436.png,0.167
339,にりはの,にリはの,61_train_06437.png,0.250
340,代じ,ーし,78_train_07765.png,1.000
341,5業のす働員,B果のす働員,61_train_06449.png,0.333
342,細グさ生閉ばす,細独こ主閉はす,61_train_06456.png,0.571
343,現護トっいす,現穫ト一っいす,61_train_06459.png,0.286
344,ば,げ,77_train_05496.png,1.000
345,歯は以型まイ,問はの攻車m,61_train_06463.png,0.833
346,七,t,79_train_06936.png,1.000
347,解置はシスギ,解重はシスギ,61_train_06466.png,0.167
348,ユメっ努,コノっ努,61_train_06469.png,0.500
349,たいる,だいる,61_train_06471.png,0.333
350,ォフ荷ぼび,ナフ荷ぼび,61_train_06473.png,0.200
351,のー劉し行s,のー劉し行S,61_train_06476.png,0.167
352,艦Z9テでとど,機29テてさー,61_train_06477.png,0.714
353,発1r,免1r,61_train_06478.png,0.333
354,第O人てすケ,第0人てすケ,61_train_06489.png,0.167
355,互,A,79_train_05540.png,1.000
356,ルプ雄結た外,ルブ機結た外,61_train_06501.png,0.333
357,でるた,T211,61_train_06509.png,1.000
358,楽9,楽,77_train_00295.png,0.500
359,競示,手品,61_train_06522.png,1.000
360,i開会,開会,61_train_06523.png,0.333
361,す日れ慶体な,す日れ塵体な,61_train_06526.png,0.167
362,員チホられ駅道,軍開本られ駅首,61_train_06528.png,0.571
363,しも制れ上,しも制れュ,61_train_06530.png,0.200
364,ヒ存ンた,ヒ存たた,61_train_06532.png,0.250
365,アはよんて,アはよんし,61_train_06535.png,0.200
366,ンらー,シらを,61_train_06537.png,0.667
367,しクば千の,しンは千の,61_train_06544.png,0.400
368,ル混てに面,ル現れに山,61_train_06557.png,0.600
369,配落,縁落,61_train_06566.png,0.500
370,1スえ影0た,に失8と彫oた,61_train_06573.png,0.857
371,761,76I,61_train_06576.png,0.333
372,ル王的と,ル王的ど,61_train_06585.png,0.250
373,に揮ド編しS州,に郷ド編しS州,61_train_06589.png,0.143
374,ッ図,ッ口,61_train_06591.png,0.500
375,ヘ委w距1,へ委w距1,61_train_06592.png,0.200
376,県か七ゲ9,現か七ゲ9,61_train_06595.png,0.200
377,ーペでしイる,ーペ護しイる,61_train_06599.png,0.167
378,誕で票9,証で票9,61_train_06604.png,0.250
379,そミ定がわー,そミ定がわニ,61_train_06612.png,0.167
380,に0動町7は現,に0動町7は揃,61_train_06617.png,0.143
381,イ役セをく眼,イ座ゼ交グ底,61_train_06619.png,0.833
382,いにに日に頭て,いにに日に読て,61_train_06623.png,0.143
383,ルこ0エン,ルこりエン,61_train_06626.png,0.200
384,一ラッ,ーラッ,61_train_06629.png,0.333
385,フ第草ねこめ,マ第i車ねこめ,61_train_06632.png,0.429
386,県画をり,県画を二り,61_train_06633.png,0.200
387,mrhO0,mrJoOD,61_train_06635.png,0.500
388,しれ元まー魅道,しれ元きー野達,61_train_06636.png,0.429
389,る足呼年o白ト,る肥原伴と白ト,61_train_06640.png,0.571
390,関プうすも際,関ブっすし際,61_train_06642.png,0.500
391,オ,ォ,79_train_04079.png,1.000
392,くN,くす1,61_train_06647.png,0.667
393,ア初化がGと,執のにか0と,61_train_06648.png,0.833
394,街的ビザ,寄的ビザ,61_train_06651.png,0.250
395,Oと,0と,73_train_00596.png,0.500
396,はマトはエく偉,はマトはエく律,61_train_06657.png,0.143
397,29GdSN1,29cdSN1,61_train_06663.png,0.143
398,さ盤れ称,さ援れ称,61_train_06665.png,0.250
399,回ンデ法,回ンテ法,61_train_06678.png,0.250
400,Hあ力がにジ沢,Hあカがにジ沢,61_train_06681.png,0.143
401,きでンがyに,きでンがy代,61_train_06683.png,0.167
402,IK,lK,61_train_06685.png,0.500
403,るたで約ゲ大,めみに器笑な,61_train_06693.png,1.000
404,イ月,ィ明,61_train_06694.png,1.000
405,人てズ,人ズ,61_train_06700.png,0.333
406,本重行2県,本態行2県,61_train_06712.png,0.200
407,カよ奪のあ,カーよ奪のあ,61_train_06716.png,0.167
408,せジしなル載,ぜジしなル戴,61_train_06722.png,0.333
409,め2よ画オ,め2よ画木,61_train_06726.png,0.200
410,土月,士月,61_train_06732.png,0.500
411,客ッ中る,宮中る,61_train_06734.png,0.500
412,b1ィ,いtシ,61_train_06736.png,1.000
413,間6なでの0,間6なでのり,61_train_06738.png,0.167
414,ト4一,Vー,61_train_06753.png,1.000
415,形東は解フ,形東は暇ワ,61_train_06765.png,0.400
416,タ学亜配艦,タ庁亜配艦,61_train_06767.png,0.200
417,あなt成基てマ,あなr成基てマ,61_train_06773.png,0.143
418,舗族あ鉄,務締あ族,61_train_06774.png,0.750
419,P南3交催立今,ア南3交催立今,61_train_06775.png,0.143
420,の日態コ学採て,の日態コ学採こ,61_train_06776.png,0.143
421,い41行てて,い4l行てて,61_train_06780.png,0.167
422,の平解レきのが,の平用レきのが,61_train_06782.png,0.143
423,はでI働東タさ,は7紅働東タさ,61_train_06783.png,0.286
424,築所,災所,61_train_06790.png,0.500
425,能書裏sア事,能選裏sアッ,61_train_06793.png,0.333
426,のト巫4部もイ,のト巫4都もト,61_train_06796.png,0.286
427,x不1し丸地,ハ不し九地,61_train_06798.png,0.500
428,りびー9の資,りびー9の査,61_train_06803.png,0.167
429,t行だし大開ね,t行たし大開ね,61_train_06806.png,0.143
430,る国たル異と,る国たル摩と,61_train_06808.png,0.167
431,0エ,0工,61_train_06809.png,0.500
432,600,6の,77_train_03137.png,0.667
433,競で販メ,競て販メ,61_train_06812.png,0.250
434,ッリがデ戦,ッリがデ艦,61_train_06814.png,0.200
435,東ず,事劣,61_train_06817.png,1.000
436,がた送,女にや試ョ度,61_train_06823.png,1.000
437,材9幻8ロナ,材9内8口ナ,61_train_06828.png,0.333
438,初よH,初よh,61_train_06830.png,0.333
439,4O,40,75_train_05654.png,0.500
440,03L,0州,67_test_00510.png,0.667
441,支各し,上各差,61_train_06836.png,0.667
442,側0カのズ任開,側3カのズ任門,61_train_06838.png,0.286
443,1l8131D,1l8i31D,61_train_06850.png,0.143
444,けかソけ射た,けかソげ射た,61_train_06854.png,0.167
445,0スツ,0フゥツ,61_train_06860.png,0.500
446,慶1組,優1組,61_train_06864.png,0.333
447,i合にれの,企合7されの,61_train_06877.png,0.500
448,加なlutコル,加なIutコル,61_train_06878.png,0.143
449,5S26,6S26,61_train_06879.png,0.250
450,とマに録のと,とマに蘇のと,61_train_06880.png,0.167
451,行にかっひをラ,行にかaひをラ,61_train_06884.png,0.143
452,出のンルマラボ,出のンルマ予ポ,61_train_06889.png,0.286
453,っプ段ゃ紀認,っプ校ャれ死,61_train_06896.png,0.667
454,合あ目りロ,合あ目りコ,61_train_06900.png,0.200
455,タ石で員,夕石で員,61_train_06903.png,0.250
456,と仲,と妹,61_train_06905.png,0.500
457,降は教,阪しは教,61_train_06909.png,0.500
458,息イ場主上,息イバ縣手ヘト,61_train_06911.png,0.714
459,すれ一に路古の,すれーに路吉の,61_train_06912.png,0.286
460,くでジペれ金と,てでこベ栽金と,61_train_06916.png,0.571
461,こでを生きそ空,こき全生きそ空,61_train_06918.png,0.286
462,スしす闇5て緯,スしす鋤5て緯,61_train_06921.png,0.143
463,挿の天,種の天,61_train_06928.png,0.333
464,ロドクZ門5,丁ドクZ門っ,61_train_06944.png,0.333
465,3た休的,Sた休的,61_train_06946.png,0.250
466,登物日,翌海日,61_train_06951.png,0.667
467,MS28O1,MS2801,61_train_06953.png,0.167
468,福2,褐2,61_train_06960.png,0.500
469,らシ績,らシ題,61_train_06961.png,0.333
470,る拡は,る払は,61_train_06963.png,0.333
471,r12jS9,112jS9,61_train_06967.png,0.167
472,ル京Iし電内,リ牌はたじ軍内,61_train_06971.png,0.857
473,籍野岡2シ代最,新長同えン代最,61_train_06973.png,0.714
474,れ動,れ励,61_train_06980.png,0.500
475,メ性フ寛,メ性フは,61_train_06988.png,0.250
476,真け併い,裏け併い,61_train_06989.png,0.250
477,がlタ,がIタ,61_train_06994.png,0.333
478,迎食,辺食,61_train_06996.png,0.500
479,宇,明,78_test_00694.png,1.000
480,間は5に,し話最本,61_train_07000.png,1.000
481,殺特託,親特新,61_train_07004.png,0.667
482,ぐ信テい,ミ信テい,61_train_07007.png,0.250
483,9G,9wG,61_train_07010.png,0.333
484,のるな属きド,のでるな宮きト,61_train_07016.png,0.429
485,にお県の与県コ,にお倶の与県コ,61_train_07019.png,0.143
486,と毒や環用,と憲や環用,61_train_07021.png,0.200
487,夜,あ,79_train_06526.png,1.000
488,Aフ運域年舞,湾る軍域りも観,61_train_07033.png,0.857
489,全とだは重イる,会とだは立イる,61_train_07038.png,0.286
490,ンバ記ンのさ二,ンバ記ンのさニ,61_train_07045.png,0.143
491,総k業上のて,始に2栄定彼て,61_train_07046.png,0.857
